,guest_speaker,imdb_rating,imd_votes,number_of_episodes
53,Kimmy Robertson,[7.8],[1160.0],1
54, Edna Krabappel,"[7.8, 7.7, 8.1, 8.3]","[1160.0, 1085.0, 1123.0, 1084.0]",4
55, Joe Frazier,"[8.2, 6.7]","[1227.0, 554.0]",2
56, Ms. Sinclair,[8.1],[1339.0],1
57,Doris Grau,[7.8],[1194.0],1
58, Bob Hope,[7.8],[1194.0],1
59, Jo Ann Harris,[7.8],[1194.0],1
60, Lona Williams,[7.8],[1194.0],1
61,Tom Jones,[7.8],[1163.0],1
62,Sara Gilbert,[8.2],[1240.0],1
63, Pamela Reed,[8.2],[1240.0],1
64,Adam West,"[8.8, 7.1]","[1595.0, 704.0]",2
65,Elizabeth Taylor,[8.5],[1350.0],1
66,Leonard Nimoy,"[9.0, 9.0]","[2028.0, 1793.0]",2
67,Michael Carrington,[8.3],[1268.0],1
68,Dr. Joyce Brothers,[9.0],[1827.0],1
69,Brooke Shields,[8.1],[1122.0],1
70,Barry White,[8.1],[1234.0],1
71,David Crosby,[7.7],[1080.0],1
72,Johnny Carson,[8.2],[1269.0],1
73, Hugh Hefner,[8.2],[1269.0],1
74, Bette Midler,[8.2],[1269.0],1
75, Luke Perry,[8.2],[1269.0],1
76, Barry White,[8.2],[1269.0],1
77, Elizabeth Taylor,[8.2],[1269.0],1
78, Red Hot Chili Peppers,[8.2],[1269.0],1
79,George Harrison,[8.4],[1416.0],1
80, David Crosby,[8.4],[1416.0],1
81, The Be Sharps,[8.4],[1416.0],1
82,Phil Hart-on-the-Stick Man,[8.7],[1437.0],1
83,Pamela Reed,"[8.0, 6.9]","[1132.0, 644.0]",2
84,James Brown,[7.7],[1085.0],1
85, Brad Goodman,[7.7],[1085.0],1
86,Ernest Borgnine,[8.7],[1270.0],1
87, Michelle Pfeiffer,"[8.4, 6.0]","[1308.0, 1051.0]",2
88, Werner Klemperer,[8.4],[1308.0],1
89,Gerry Cooney,[8.5],[1274.0],1
90, Robert Goulet,[8.5],[1274.0],1
91,Sam Neill,[8.2],[1202.0],1
92,Conan O'Brien,[8.1],[1123.0],1
93,James Woods,[8.3],[1171.0],1
94,Kathleen Turner,[8.2],[1187.0],1
95,Buzz Aldrin,[8.8],[1505.0],1
96, James Taylor,[8.8],[1505.0],1
97,Winona Ryder,[8.1],[1156.0],1
98, Sara Gilbert,[6.0],[1051.0],1
